"Participant_ID","Participant_Age","Participant_Sex","Item_Category","Item_Name","Trial_Order","Emotion_Condition","Subjective_Arousal","Subjective_Valence","Autobiographical_Link","Recall"
"1S",18.3846680355921,"Female","People","People_158_h",1,"Neutral",12.2395833333333,0.520833333333343,63.28125,TRUE
"1S",18.3846680355921,"Female","Faces","Faces_045_h",2,"Neutral",16.40625,4.16666666666666,22.1354166666667,FALSE
"1S",18.3846680355921,"Female","People","People_138_h",3,"Neutral",25.5208333333333,25.5208333333333,55.9895833333333,TRUE
"1S",18.3846680355921,"Female","People","People_148_h",4,"Neutral",0,0,44.7916666666667,FALSE
"1S",18.3846680355921,"Female","Faces","Faces_315_h",5,"Neutral",25.78125,45.8333333333333,30.2083333333333,FALSE
"1S",18.3846680355921,"Female","Faces","Faces_224_h",6,"Neutral",2.60416666666666,0,8.07291666666666,FALSE
"1S",18.3846680355921,"Female","Faces","Faces_016_h",7,"Negative",25,-32.8125,0,FALSE
"1S",18.3846680355921,"Female","Faces","Faces_170_h",8,"Negative",51.3020833333333,-1.04166666666666,15.3645833333333,FALSE
"1S",18.3846680355921,"Female","Faces","Faces_362_v",9,"Negative",75.2604166666667,-2.08333333333334,0,FALSE
"1S",18.3846680355921,"Female","Faces","Faces_366_h",10,"Negative",72.1354166666667,1.04166666666666,2.08333333333334,FALSE
"1S",18.3846680355921,"Female","People","People_226_h",11,"Negative",67.4479166666667,-36.9791666666667,32.8125,TRUE
"1S",18.3846680355921,"Female","People","People_201_v",12,"Negative",68.2291666666667,-65.1041666666667,4.6875,FALSE
"1S",18.3846680355921,"Female","People","People_149_h",13,"Neutral",17.4479166666667,1.5625,0,FALSE
"1S",18.3846680355921,"Female","Faces","Faces_057_h",14,"Neutral",3.38541666666666,-2.08333333333334,1.82291666666666,FALSE
"1S",18.3846680355921,"Female","Faces","Faces_364_v",15,"Negative",100,-82.2916666666667,0,FALSE
"1S",18.3846680355921,"Female","People","People_222_h",16,"Negative",64.84375,-37.5,0.78125,FALSE
"1S",18.3846680355921,"Female","Faces","Faces_319_v",17,"Neutral",0,-2.60416666666666,82.2916666666667,FALSE
"1S",18.3846680355921,"Female","People","People_128_h",18,"Negative",100,-1.5625,4.16666666666666,FALSE
"1S",18.3846680355921,"Female","People","People_184_h",19,"Neutral",0,-0.520833333333343,54.4270833333333,FALSE
"1S",18.3846680355921,"Female","People","People_163_v",20,"Neutral",0,-2.60416666666666,0,FALSE
"1S",18.3846680355921,"Female","Faces","Faces_293_h",21,"Negative",2.34375,-55.7291666666667,0.520833333333337,FALSE
"1S",18.3846680355921,"Female","Faces","Faces_010_h",22,"Negative",71.6145833333333,-15.625,0,TRUE
"1S",18.3846680355921,"Female","People","People_038_h",23,"Negative",99.7395833333333,-99.4791666666667,0,TRUE
"1S",18.3846680355921,"Female","People","People_208_h",24,"Negative",76.0416666666667,-97.3958333333333,0,FALSE
"1S",18.3846680355921,"Female","People","People_056_h",25,"Neutral",0,47.9166666666667,0,FALSE
"1S",18.3846680355921,"Female","People","People_238_h",26,"Negative",100,-97.9166666666667,0,TRUE
"1S",18.3846680355921,"Female","People","People_246_h",27,"Negative",86.4583333333333,-100,0,FALSE
"1S",18.3846680355921,"Female","People","People_102_h",28,"Neutral",10.4166666666667,-0.520833333333343,0,FALSE
"1S",18.3846680355921,"Female","Faces","Faces_343_h",29,"Neutral",0,0.520833333333343,0,FALSE
"1S",18.3846680355921,"Female","People","People_220_h",30,"Negative",78.6458333333333,-2.08333333333334,1.04166666666666,FALSE
"1S",18.3846680355921,"Female","Faces","Faces_341_h",31,"Neutral",0,51.5625,0,TRUE
"1S",18.3846680355921,"Female","Faces","Faces_251_v",32,"Neutral",0,0,0,FALSE
"1S",18.3846680355921,"Female","Faces","Faces_196_h",33,"Neutral",0.78125,0,0,FALSE
"1S",18.3846680355921,"Female","Faces","Faces_064_h",34,"Neutral",0.260416666666663,99.4791666666667,63.28125,TRUE
"1S",18.3846680355921,"Female","Faces","Faces_365_v",35,"Negative",54.9479166666667,2.60416666666666,1.82291666666666,TRUE
"1S",18.3846680355921,"Female","People","People_211_v",36,"Negative",77.34375,-100,0,FALSE
"1S",18.3846680355921,"Female","People","People_237_h",37,"Negative",100,-100,1.04166666666666,TRUE
"1S",18.3846680355921,"Female","Faces","Faces_367_h",38,"Negative",100,-100,0,FALSE
"1S",18.3846680355921,"Female","Faces","Faces_172_h",39,"Negative",50.5208333333333,2.08333333333334,0,TRUE
"1S",18.3846680355921,"Female","Faces","Faces_207_h",40,"Neutral",0,-1.5625,1.30208333333334,TRUE
"1S",18.3846680355921,"Female","People","People_114_h",41,"Neutral",1.30208333333334,44.7916666666667,100,TRUE
"1S",18.3846680355921,"Female","Faces","Faces_149_v",42,"Negative",74.4791666666667,-48.9583333333333,0,FALSE
"1S",18.3846680355921,"Female","People","People_227_h",43,"Negative",75.78125,-100,0,FALSE
"1S",18.3846680355921,"Female","People","People_097_h",44,"Neutral",0,0,0,FALSE
"1S",18.3846680355921,"Female","Faces","Faces_371_v",45,"Negative",98.9583333333333,-100,0,FALSE
"1S",18.3846680355921,"Female","People","People_104_h",46,"Neutral",0,-1.04166666666666,1.04166666666666,FALSE
"1S",18.3846680355921,"Female","Faces","Faces_195_v",47,"Neutral",0,1.04166666666666,0,TRUE
"1S",18.3846680355921,"Female","People","People_063_h",48,"Neutral",2.08333333333334,100,1.30208333333334,TRUE
"2S",23.5975359342916,"Female","People","People_056_h",1,"Neutral",50,0,61.71875,FALSE
"2S",23.5975359342916,"Female","Faces","Faces_045_h",2,"Neutral",37.2395833333333,46.3541666666667,33.59375,FALSE
"2S",23.5975359342916,"Female","People","People_184_h",3,"Neutral",81.7708333333333,100,76.8229166666667,FALSE
"2S",23.5975359342916,"Female","Faces","Faces_010_h",4,"Negative",84.375,-56.25,36.4583333333333,TRUE
"2S",23.5975359342916,"Female","People","People_128_h",5,"Negative",83.3333333333333,-35.9375,35.9375,TRUE
"2S",23.5975359342916,"Female","People","People_102_h",6,"Neutral",69.7916666666667,23.9583333333333,76.5625,FALSE
"2S",23.5975359342916,"Female","People","People_149_h",7,"Neutral",34.1145833333333,15.625,37.5,TRUE
"2S",23.5975359342916,"Female","Faces","Faces_149_v",8,"Negative",79.6875,-22.9166666666667,61.9791666666667,TRUE
"2S",23.5975359342916,"Female","People","People_104_h",9,"Neutral",44.2708333333333,12.5,35.4166666666667,FALSE
"2S",23.5975359342916,"Female","Faces","Faces_319_v",10,"Neutral",62.2395833333333,16.6666666666667,84.8958333333333,TRUE
"2S",23.5975359342916,"Female","People","People_138_h",11,"Neutral",68.75,33.8541666666667,72.9166666666667,TRUE
"2S",23.5975359342916,"Female","Faces","Faces_172_h",12,"Negative",67.7083333333333,-26.5625,36.1979166666667,FALSE
"2S",23.5975359342916,"Female","Faces","Faces_315_h",13,"Neutral",41.1458333333333,0.520833333333343,38.5416666666667,TRUE
"2S",23.5975359342916,"Female","People","People_246_h",14,"Negative",73.6979166666667,-30.2083333333333,31.7708333333333,FALSE
"2S",23.5975359342916,"Female","People","People_237_h",15,"Negative",100,-100,0,FALSE
"2S",23.5975359342916,"Female","Faces","Faces_293_h",16,"Negative",82.03125,-39.0625,81.7708333333333,FALSE
"2S",23.5975359342916,"Female","Faces","Faces_343_h",17,"Neutral",54.6875,33.8541666666667,27.8645833333333,TRUE
"2S",23.5975359342916,"Female","Faces","Faces_196_h",18,"Neutral",42.1875,40.1041666666667,29.6875,FALSE
"2S",23.5975359342916,"Female","Faces","Faces_064_h",19,"Neutral",43.2291666666667,45.8333333333333,75,TRUE
"2S",23.5975359342916,"Female","Faces","Faces_207_h",20,"Neutral",71.09375,46.875,70.8333333333333,TRUE
"2S",23.5975359342916,"Female","People","People_038_h",21,"Negative",88.8020833333333,-70.8333333333333,76.8229166666667,TRUE
"2S",23.5975359342916,"Female","Faces","Faces_170_h",22,"Negative",72.65625,51.0416666666667,77.0833333333333,TRUE
"2S",23.5975359342916,"Female","Faces","Faces_341_h",23,"Neutral",26.3020833333333,48.9583333333333,66.40625,TRUE
"2S",23.5975359342916,"Female","People","People_222_h",24,"Negative",84.6354166666667,-54.1666666666667,51.8229166666667,FALSE
"2S",23.5975359342916,"Female","Faces","Faces_016_h",25,"Negative",92.96875,-64.5833333333333,78.3854166666667,TRUE
"2S",23.5975359342916,"Female","People","People_208_h",26,"Negative",77.34375,-69.7916666666667,19.0104166666667,FALSE
"2S",23.5975359342916,"Female","People","People_097_h",27,"Neutral",14.84375,-0.520833333333343,42.96875,FALSE
"2S",23.5975359342916,"Female","People","People_227_h",28,"Negative",63.0208333333333,28.6458333333333,72.1354166666667,FALSE
"2S",23.5975359342916,"Female","People","People_211_v",29,"Negative",87.7604166666667,-77.6041666666667,16.6666666666667,TRUE
"2S",23.5975359342916,"Female","People","People_063_h",30,"Neutral",71.875,84.8958333333333,79.1666666666667,FALSE
"2S",23.5975359342916,"Female","Faces","Faces_224_h",31,"Neutral",30.7291666666667,46.3541666666667,28.90625,FALSE
"2S",23.5975359342916,"Female","People","People_163_v",32,"Neutral",22.9166666666667,55.7291666666667,39.84375,FALSE
"2S",23.5975359342916,"Female","Faces","Faces_371_v",33,"Negative",72.65625,-39.5833333333333,28.6458333333333,FALSE
"2S",23.5975359342916,"Female","People","People_148_h",34,"Neutral",39.0625,-23.4375,67.7083333333333,FALSE
"2S",23.5975359342916,"Female","People","People_158_h",35,"Neutral",28.6458333333333,38.5416666666667,90.1041666666667,FALSE
"2S",23.5975359342916,"Female","Faces","Faces_365_v",36,"Negative",86.9791666666667,-78.125,NA,TRUE
"2S",23.5975359342916,"Female","Faces","Faces_251_v",37,"Neutral",41.1458333333333,38.0208333333333,67.96875,FALSE
"2S",23.5975359342916,"Female","People","People_238_h",38,"Negative",93.2291666666667,-92.1875,31.5104166666667,TRUE
"2S",23.5975359342916,"Female","People","People_201_v",39,"Negative",75.78125,-51.0416666666667,23.9583333333333,TRUE
"2S",23.5975359342916,"Female","People","People_226_h",40,"Negative",68.4895833333333,-30.7291666666667,30.46875,TRUE
"2S",23.5975359342916,"Female","Faces","Faces_195_v",41,"Neutral",33.3333333333333,54.6875,11.9791666666667,FALSE
"2S",23.5975359342916,"Female","Faces","Faces_366_h",42,"Negative",78.3854166666667,-48.4375,19.53125,FALSE
"2S",23.5975359342916,"Female","Faces","Faces_367_h",43,"Negative",77.34375,-46.3541666666667,63.0208333333333,TRUE
"2S",23.5975359342916,"Female","People","People_114_h",44,"Neutral",80.46875,66.1458333333333,56.25,FALSE
"2S",23.5975359342916,"Female","Faces","Faces_364_v",45,"Negative",92.4479166666667,-73.4375,24.7395833333333,FALSE
"2S",23.5975359342916,"Female","People","People_220_h",46,"Negative",88.5416666666667,-80.2083333333333,21.875,TRUE
"2S",23.5975359342916,"Female","Faces","Faces_362_v",47,"Negative",67.4479166666667,42.1875,76.5625,FALSE
"2S",23.5975359342916,"Female","Faces","Faces_057_h",48,"Neutral",26.0416666666667,69.2708333333333,76.0416666666667,FALSE
"3S",22.1190965092403,"Female","People","People_184_h",1,"Neutral",7.35724743777453,1.46412884333822,66.8374816983895,FALSE
"3S",22.1190965092403,"Female","Faces","Faces_362_v",2,"Negative",27.1229868228404,-38.4333821376281,38.6530014641288,TRUE
"3S",22.1190965092403,"Female","Faces","Faces_016_h",3,"Negative",65.9224011713031,-88.9458272327965,65.190336749634,TRUE
"3S",22.1190965092403,"Female","People","People_227_h",4,"Negative",66.8374816983895,-46.8521229868228,60.4319180087848,FALSE
"3S",22.1190965092403,"Female","People","People_238_h",5,"Negative",80.3806734992679,-71.7423133235725,64.8243045387994,FALSE
"3S",22.1190965092403,"Female","People","People_102_h",6,"Neutral",38.4699853587115,36.9692532942899,75.2562225475842,FALSE
"3S",22.1190965092403,"Female","Faces","Faces_196_h",7,"Neutral",27.8550512445095,27.4524158125915,40.4831625183016,FALSE
"3S",22.1190965092403,"Female","Faces","Faces_371_v",8,"Negative",86.7862371888726,-76.8667642752562,39.5680819912152,TRUE
"3S",22.1190965092403,"Female","Faces","Faces_057_h",9,"Neutral",18.887262079063,35.5051244509517,39.385065885798,FALSE
"3S",22.1190965092403,"Female","Faces","Faces_343_h",10,"Neutral",20.900439238653,23.0600292825769,62.8111273792094,FALSE
"3S",22.1190965092403,"Female","Faces","Faces_010_h",11,"Negative",61.3469985358712,-35.8711566617862,63.5431918008785,FALSE
"3S",22.1190965092403,"Female","People","People_226_h",12,"Negative",66.6544655929722,-69.1800878477306,69.2166910688141,FALSE
"3S",22.1190965092403,"Female","Faces","Faces_319_v",13,"Neutral",15.9590043923865,6.58857979502194,71.4128843338214,FALSE
"3S",22.1190965092403,"Female","People","People_063_h",14,"Neutral",26.207906295754,79.4289897510981,59.5168374816984,FALSE
"3S",22.1190965092403,"Female","Faces","Faces_366_h",15,"Negative",50,31.8448023426062,79.099560761347,FALSE
"3S",22.1190965092403,"Female","People","People_237_h",16,"Negative",29.8682284040996,18.3016105417277,35.5417276720351,FALSE
"3S",22.1190965092403,"Female","Faces","Faces_045_h",17,"Neutral",15.592972181552,0.366032210834533,64.0922401171303,FALSE
"3S",22.1190965092403,"Female","Faces","Faces_365_v",18,"Negative",80.5636896046852,-75.0366032210835,18.3382137628111,TRUE
